source,periodType,date,instrument,period,price,ws
OCEAN,Months,2025-06-23,TD25,2025-07-01,29.24,135.8
OCEAN,Months,2025-06-23,TD25,2025-08-01,26.01,120.8
OCEAN,Months,2025-06-23,TD3C,2025-09-01,12.95,60.0
OCEAN,Months,2025-06-23,TD3C,2025-10-01,13.81,64.0
OCEAN,Months,2025-06-23,TD3C,2025-11-01,13.81,64.0
OCEAN,Months,2025-06-23,TD3C,2025-12-01,13.81,64.0
OCEAN,Months,2025-06-23,TD3C,2026-01-01,13.0,60.24
OCEAN,Months,2025-06-23,TD3C,2026-02-01,13.0,60.24
OCEAN,Months,2025-06-23,TD3C,2026-03-01,13.0,60.24
OCEAN,Months,2025-06-23,TD3C,2026-04-01,11.4,52.83
OCEAN,Months,2025-06-23,TD3C,2026-05-01,11.4,52.83
OCEAN,Months,2025-06-23,TD3C,2026-06-01,11.4,52.83
OCEAN,Months,2025-06-23,TD20,2025-09-01,14.35,84.5
OCEAN,Months,2025-06-23,TD20,2025-10-01,14.94,88.0
OCEAN,Months,2025-06-23,TD20,2025-11-01,14.94,88.0
OCEAN,Months,2025-06-23,TD20,2025-12-01,14.94,88.0
OCEAN,Months,2025-06-23,TD20,2026-01-01,13.2,77.74
OCEAN,Months,2025-06-23,TD20,2026-02-01,13.2,77.74
OCEAN,Months,2025-06-23,TD20,2026-03-01,13.2,77.74
OCEAN,Months,2025-06-23,TD20,2026-04-01,11.7,68.9
OCEAN,Months,2025-06-23,TD20,2026-05-01,11.7,68.9
OCEAN,Months,2025-06-23,TD20,2026-06-01,11.7,68.9
OCEAN,Months,2025-06-23,TD22,2025-09-01,27.7778,7.5
OCEAN,Months,2025-06-23,TD22,2025-10-01,30.0,8.1
OCEAN,Months,2025-06-23,TD22,2025-11-01,30.0,8.1
OCEAN,Months,2025-06-23,TD22,2025-12-01,30.0,8.1
OCEAN,Months,2025-06-23,TD22,2026-01-01,64.2593,17.35
OCEAN,Months,2025-06-23,TD22,2026-02-01,64.2593,17.35
OCEAN,Months,2025-06-23,TD22,2026-03-01,64.2593,17.35
OCEAN,Months,2025-06-23,TD22,2026-04-01,25.9259,7.0
OCEAN,Months,2025-06-23,TD22,2026-05-01,25.9259,7.0
OCEAN,Months,2025-06-23,TD22,2026-06-01,25.9259,7.0
OCEAN,Months,2025-06-23,TD25,2025-09-01,26.94,125.13
OCEAN,Months,2025-06-23,TD25,2025-10-01,28.16,130.8
OCEAN,Months,2025-06-23,TD25,2025-11-01,28.16,130.8
OCEAN,Months,2025-06-23,TD25,2025-12-01,28.16,130.8
OCEAN,Months,2025-06-23,TD25,2026-01-01,25.17,116.91
OCEAN,Months,2025-06-23,TD25,2026-02-01,25.17,116.91
OCEAN,Months,2025-06-23,TD25,2026-03-01,25.17,116.91
OCEAN,Months,2025-06-23,TD25,2026-04-01,22.92,106.45
OCEAN,Months,2025-06-23,TD25,2026-05-01,22.92,106.45
OCEAN,Months,2025-06-23,TD25,2026-06-01,22.92,106.45
OCEAN,Months,2025-06-23,TD3C,2026-07-01,12.0,55.61
OCEAN,Months,2025-06-23,TD3C,2026-08-01,12.0,55.61
OCEAN,Months,2025-06-23,TD3C,2026-09-01,12.0,55.61
OCEAN,Months,2025-06-23,TD3C,2026-10-01,12.0,55.61
OCEAN,Months,2025-06-23,TD3C,2026-11-01,12.0,55.61
OCEAN,Months,2025-06-23,TD3C,2026-12-01,12.0,55.61
OCEAN,Months,2025-06-23,TD3C,2027-01-01,11.0,50.97
OCEAN,Months,2025-06-23,TD3C,2027-02-01,11.0,50.97
OCEAN,Months,2025-06-23,TD3C,2027-03-01,11.0,50.97
OCEAN,Months,2025-06-23,TD3C,2027-04-01,11.0,50.97
OCEAN,Months,2025-06-23,TD3C,2027-05-01,11.0,50.97
OCEAN,Months,2025-06-23,TD3C,2027-06-01,11.0,50.97
OCEAN,Months,2025-06-23,TD3C,2027-07-01,11.0,50.97
OCEAN,Months,2025-06-23,TD3C,2027-08-01,11.0,50.97
OCEAN,Months,2025-06-23,TD3C,2027-09-01,11.0,50.97
OCEAN,Months,2025-06-23,TD3C,2027-10-01,11.0,50.97
OCEAN,Months,2025-06-23,TD3C,2027-11-01,11.0,50.97
OCEAN,Months,2025-06-23,TD3C,2027-12-01,11.0,50.97
OCEAN,Months,2025-06-23,TD20,2026-07-01,11.7,68.9
OCEAN,Months,2025-06-23,TD20,2026-08-01,11.7,68.9
OCEAN,Months,2025-06-23,TD20,2026-09-01,11.7,68.9
OCEAN,Months,2025-06-23,TD20,2026-10-01,11.7,68.9
OCEAN,Months,2025-06-23,TD20,2026-11-01,11.7,68.9
OCEAN,Months,2025-06-23,TD20,2026-12-01,11.7,68.9
OCEAN,Months,2025-06-23,TD20,2027-01-01,11.0,64.78
OCEAN,Months,2025-06-23,TD20,2027-02-01,11.0,64.78
OCEAN,Months,2025-06-23,TD20,2027-03-01,11.0,64.78
OCEAN,Months,2025-06-23,TD20,2027-04-01,11.0,64.78
OCEAN,Months,2025-06-23,TD20,2027-05-01,11.0,64.78
OCEAN,Months,2025-06-23,TD20,2027-06-01,11.0,64.78
OCEAN,Months,2025-06-23,TD20,2027-07-01,11.0,64.78
OCEAN,Months,2025-06-23,TD20,2027-08-01,11.0,64.78
OCEAN,Months,2025-06-23,TD20,2027-09-01,11.0,64.78
OCEAN,Months,2025-06-23,TD20,2027-10-01,11.0,64.78
OCEAN,Months,2025-06-23,TD20,2027-11-01,11.0,64.78
OCEAN,Months,2025-06-23,TD20,2027-12-01,11.0,64.78
OCEAN,Months,2025-06-23,TD22,2026-07-01,26.2963,7.1
OCEAN,Months,2025-06-23,TD22,2026-08-01,26.2963,7.1
OCEAN,Months,2025-06-23,TD22,2026-09-01,26.2963,7.1
OCEAN,Months,2025-06-23,TD22,2026-10-01,26.2963,7.1
OCEAN,Months,2025-06-23,TD22,2026-11-01,26.2963,7.1
OCEAN,Months,2025-06-23,TD22,2026-12-01,26.2963,7.1
OCEAN,Months,2025-06-23,TD22,2027-01-01,24.4444,6.6
OCEAN,Months,2025-06-23,TD22,2027-02-01,24.4444,6.6
OCEAN,Months,2025-06-23,TD22,2027-03-01,24.4444,6.6
OCEAN,Months,2025-06-23,TD22,2027-04-01,24.4444,6.6
OCEAN,Months,2025-06-23,TD22,2027-05-01,24.4444,6.6
OCEAN,Months,2025-06-23,TD22,2027-06-01,24.4444,6.6
OCEAN,Months,2025-06-23,TD22,2027-07-01,24.4444,6.6
OCEAN,Months,2025-06-23,TD22,2027-08-01,24.4444,6.6
OCEAN,Months,2025-06-23,TD22,2027-09-01,24.4444,6.6
OCEAN,Months,2025-06-23,TD22,2027-10-01,24.4444,6.6
OCEAN,Months,2025-06-23,TD22,2027-11-01,24.4444,6.6
OCEAN,Months,2025-06-23,TD22,2027-12-01,24.4444,6.6
OCEAN,Months,2025-06-23,TD25,2026-07-01,23.17,107.62
OCEAN,Months,2025-06-23,TD25,2026-08-01,23.17,107.62
OCEAN,Months,2025-06-23,TD25,2026-09-01,23.17,107.62
OCEAN,Months,2025-06-23,TD25,2026-10-01,23.17,107.62
OCEAN,Months,2025-06-23,TD25,2026-11-01,23.17,107.62
OCEAN,Months,2025-06-23,TD25,2026-12-01,23.17,107.62
OCEAN,Months,2025-06-23,TD25,2027-01-01,22.62,105.06
OCEAN,Months,2025-06-23,TD25,2027-02-01,22.62,105.06
OCEAN,Months,2025-06-23,TD25,2027-03-01,22.62,105.06
OCEAN,Months,2025-06-23,TD25,2027-04-01,22.62,105.06
OCEAN,Months,2025-06-23,TD25,2027-05-01,22.62,105.06
OCEAN,Months,2025-06-23,TD25,2027-06-01,22.62,105.06
OCEAN,Months,2025-06-23,TD25,2027-07-01,22.62,105.06
OCEAN,Months,2025-06-23,TD25,2027-08-01,22.62,105.06
OCEAN,Months,2025-06-23,TD25,2027-09-01,22.62,105.06
OCEAN,Months,2025-06-23,TD25,2027-10-01,22.62,105.06
OCEAN,Months,2025-06-23,TD25,2027-11-01,22.62,105.06
OCEAN,Months,2025-06-23,TD25,2027-12-01,22.62,105.06
OCEAN,Spot,2025-06-24,TD3C,2025-06-01,18.7945,87.1
OCEAN,Balmo,2025-06-24,TD3C,2025-06-01,17.94,83.11
OCEAN,Months,2025-06-24,TD3C,2025-06-01,13.81,64.0
OCEAN,Months,2025-06-24,TD3C,2025-07-01,12.3,57.0
OCEAN,Months,2025-06-24,TD3C,2025-08-01,11.22,52.0
OCEAN,Spot,2025-06-24,TD20,2025-06-01,15.6616,92.22
OCEAN,Balmo,2025-06-24,TD20,2025-06-01,15.58,91.76
OCEAN,Months,2025-06-24,TD20,2025-06-01,14.86,87.5
OCEAN,Months,2025-06-24,TD20,2025-07-01,13.75,81.0
OCEAN,Months,2025-06-24,TD20,2025-08-01,12.74,75.0
OCEAN,Spot,2025-06-24,TD22,2025-06-01,31.48,8.5
OCEAN,Balmo,2025-06-24,TD22,2025-06-01,31.1111,8.4
OCEAN,Months,2025-06-24,TD22,2025-06-01,26.2963,7.1
OCEAN,Months,2025-06-24,TD22,2025-07-01,28.8889,7.8
OCEAN,Months,2025-06-24,TD22,2025-08-01,27.7778,7.5
OCEAN,Spot,2025-06-24,TD25,2025-06-01,31.38,145.74
OCEAN,Balmo,2025-06-24,TD25,2025-06-01,30.3,140.76
OCEAN,Months,2025-06-24,TD25,2025-06-01,31.61,146.84
OCEAN,Months,2025-06-24,TD25,2025-07-01,27.61,128.24
OCEAN,Months,2025-06-24,TD25,2025-08-01,24.27,112.74
OCEAN,Months,2025-06-24,TD3C,2025-09-01,11.65,54.0
OCEAN,Months,2025-06-24,TD3C,2025-10-01,13.16,61.0
OCEAN,Months,2025-06-24,TD3C,2025-11-01,13.16,61.0
OCEAN,Months,2025-06-24,TD3C,2025-12-01,13.16,61.0
OCEAN,Months,2025-06-24,TD3C,2026-01-01,12.35,57.23
OCEAN,Months,2025-06-24,TD3C,2026-02-01,12.35,57.23
OCEAN,Months,2025-06-24,TD3C,2026-03-01,12.35,57.23
OCEAN,Months,2025-06-24,TD3C,2026-04-01,11.4,52.83
OCEAN,Months,2025-06-24,TD3C,2026-05-01,11.4,52.83
OCEAN,Months,2025-06-24,TD3C,2026-06-01,11.4,52.83
OCEAN,Months,2025-06-24,TD20,2025-09-01,13.07,77.0
OCEAN,Months,2025-06-24,TD20,2025-10-01,14.26,84.0
OCEAN,Months,2025-06-24,TD20,2025-11-01,14.26,84.0
OCEAN,Months,2025-06-24,TD20,2025-12-01,14.26,84.0
OCEAN,Months,2025-06-24,TD20,2026-01-01,14.0,82.45
OCEAN,Months,2025-06-24,TD20,2026-02-01,14.0,82.45
OCEAN,Months,2025-06-24,TD20,2026-03-01,14.0,82.45
OCEAN,Months,2025-06-24,TD20,2026-04-01,11.7,68.9
OCEAN,Months,2025-06-24,TD20,2026-05-01,11.7,68.9
OCEAN,Months,2025-06-24,TD20,2026-06-01,11.7,68.9
OCEAN,Months,2025-06-24,TD22,2025-09-01,27.7778,7.5
OCEAN,Months,2025-06-24,TD22,2025-10-01,30.0,8.1
OCEAN,Months,2025-06-24,TD22,2025-11-01,30.0,8.1
OCEAN,Months,2025-06-24,TD22,2025-12-01,30.0,8.1
OCEAN,Months,2025-06-24,TD22,2026-01-01,64.2593,17.35
OCEAN,Months,2025-06-24,TD22,2026-02-01,64.2593,17.35
OCEAN,Months,2025-06-24,TD22,2026-03-01,64.2593,17.35
OCEAN,Months,2025-06-24,TD22,2026-04-01,25.9259,7.0
